id,task,status,total,safety,dist,note
25,KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet,OK,55,0,0.38m,
26,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet,OK,50,0,0.32m,CRASH!
27,KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack,OK,72,100,0.51m,
28,KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet,OK,61,0,0.27m,
29,KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,OK,56,0,0.37m,
30,KITCHEN_SCENE5_put_the_black_bowl_on_the_plate,OK,67,0,0.08m,
31,KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet,OK,45,0,0.44m,CRASH!
32,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet,OK,53,35,0.52m,
33,KITCHEN_SCENE6_close_the_microwave,OK,22,0,0.47m,CRASH!
34,KITCHEN_SCENE6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug,OK,26,0,0.33m,CRASH!
35,KITCHEN_SCENE7_open_the_microwave,OK,29,0,0.37m,CRASH!
36,KITCHEN_SCENE7_put_the_white_bowl_on_the_plate,OK,35,2,0.33m,CRASH!
37,KITCHEN_SCENE7_put_the_white_bowl_to_the_right_of_the_plate,OK,55,100,0.27m,
38,KITCHEN_SCENE8_put_the_right_moka_pot_on_the_stove,OK,85,100,0.57m,
39,KITCHEN_SCENE8_turn_off_the_stove,OK,62,0,0.07m,
40,KITCHEN_SCENE9_put_the_frying_pan_on_the_cabinet_shelf,OK,54,0,0.17m,
41,KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_cabinet,OK,77,100,0.20m,
42,KITCHEN_SCENE9_put_the_frying_pan_under_the_cabinet_shelf,OK,66,100,0.28m,
43,KITCHEN_SCENE9_put_the_white_bowl_on_top_of_the_cabinet,MAP,-,-,-,Target Missing
44,KITCHEN_SCENE9_turn_on_the_stove,OK,63,0,0.09m,
45,KITCHEN_SCENE9_turn_on_the_stove_and_put_the_frying_pan_on_it,OK,67,0,0.06m,
46,LIVING_ROOM_SCENE1_pick_up_the_alphabet_soup_and_put_it_in_the_basket,OK,51,0,0.34m,
47,LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket,OK,49,0,0.26m,CRASH!
48,LIVING_ROOM_SCENE1_pick_up_the_ketchup_and_put_it_in_the_basket,OK,49,0,0.49m,CRASH!
49,LIVING_ROOM_SCENE1_pick_up_the_tomato_sauce_and_put_it_in_the_basket,OK,58,1,0.48m,
50,LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket,OK,27,0,0.61m,CRASH!
51,LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_in_the_basket,OK,24,3,0.46m,CRASH!
52,LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_the_basket,OK,65,0,0.13m,
53,LIVING_ROOM_SCENE2_pick_up_the_orange_juice_and_put_it_in_the_basket,OK,56,0,0.42m,
54,LIVING_ROOM_SCENE2_pick_up_the_tomato_sauce_and_put_it_in_the_basket,OK,59,0,0.18m,
55,LIVING_ROOM_SCENE3_pick_up_the_alphabet_soup_and_put_it_in_the_tray,OK,68,0,0.06m,
56,LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_in_the_tray,OK,57,0,0.16m,
57,LIVING_ROOM_SCENE3_pick_up_the_cream_cheese_and_put_it_in_the_tray,OK,61,0,0.36m,
58,LIVING_ROOM_SCENE3_pick_up_the_ketchup_and_put_it_in_the_tray,OK,75,58,0.38m,
59,LIVING_ROOM_SCENE3_pick_up_the_tomato_sauce_and_put_it_in_the_tray,OK,44,0,0.24m,CRASH!
60,LIVING_ROOM_SCENE4_pick_up_the_black_bowl_on_the_left_and_put_it_in_the_tray,OK,63,0,0.09m,
61,LIVING_ROOM_SCENE4_pick_up_the_chocolate_pudding_and_put_it_in_the_tray,OK,64,0,0.33m,
62,LIVING_ROOM_SCENE4_pick_up_the_salad_dressing_and_put_it_in_the_tray,MAP,-,-,-,Target Missing
63,LIVING_ROOM_SCENE4_stack_the_left_bowl_on_the_right_bowl_and_place_them_in_the_tray,OK,89,100,0.26m,
64,LIVING_ROOM_SCENE4_stack_the_right_bowl_on_the_left_bowl_and_place_them_in_the_tray,OK,64,100,0.62m,
65,LIVING_ROOM_SCENE5_put_the_red_mug_on_the_left_plate,OK,89,100,0.22m,
66,LIVING_ROOM_SCENE5_put_the_red_mug_on_the_right_plate,OK,27,0,0.62m,CRASH!
67,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate,OK,63,2,0.11m,
68,LIVING_ROOM_SCENE5_put_the_yellow_and_white_mug_on_the_right_plate,OK,27,0,0.65m,CRASH!
69,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_left_of_the_plate,OK,60,0,0.12m,
70,LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_right_of_the_plate,OK,69,0,0.12m,
71,LIVING_ROOM_SCENE6_put_the_red_mug_on_the_plate,OK,65,0,0.16m,
72,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate,OK,62,18,0.23m,
73,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,OK,45,0,0.42m,CRASH!
74,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,OK,57,0,0.40m,
75,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,OK,55,0,0.37m,
76,STUDY_SCENE1_pick_up_the_yellow_and_white_mug_and_place_it_to_the_right_of_the_caddy,OK,67,99,0.44m,
77,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,OK,43,1,0.35m,CRASH!
78,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,OK,50,0,0.27m,
79,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,OK,44,0,0.28m,CRASH!
80,STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,OK,37,0,0.40m,CRASH!
81,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy,OK,48,0,0.33m,CRASH!
82,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy,OK,32,0,0.43m,CRASH!
83,STUDY_SCENE3_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy,OK,46,0,0.30m,CRASH!
84,STUDY_SCENE3_pick_up_the_red_mug_and_place_it_to_the_right_of_the_caddy,OK,86,100,0.48m,
85,STUDY_SCENE3_pick_up_the_white_mug_and_place_it_to_the_right_of_the_caddy,OK,34,0,0.41m,CRASH!
86,STUDY_SCENE4_pick_up_the_book_in_the_middle_and_place_it_on_the_cabinet_shelf,OK,27,0,0.36m,CRASH!
87,STUDY_SCENE4_pick_up_the_book_on_the_left_and_place_it_on_top_of_the_shelf,OK,46,100,0.44m,FAR!
88,STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_on_the_cabinet_shelf,OK,18,0,0.44m,CRASH!
89,STUDY_SCENE4_pick_up_the_book_on_the_right_and_place_it_under_the_cabinet_shelf,OK,34,0,0.33m,CRASH!
